alpha,beta,gamma,mean_lambda2,partition_rate
0.4,0.25,0.17500000000000004,0.8128976885790409,0.0
0.4,0.25,0.2,0.8034369596500863,0.0
0.4,0.30000000000000004,0.05,0.814961624173715,0.0
0.4,0.30000000000000004,0.07500000000000001,0.8102627649142228,0.0
0.4,0.30000000000000004,0.1,0.833235772594979,0.0
0.4,0.30000000000000004,0.125,0.792611367905387,0.0
0.4,0.30000000000000004,0.15000000000000002,0.8043040002758097,0.0
0.4,0.30000000000000004,0.17500000000000004,0.7994398697051944,0.0
0.4,0.30000000000000004,0.2,0.8166952113722591,0.0
0.4,0.3500000000000001,0.05,0.7966790105945583,0.0
0.4,0.3500000000000001,0.07500000000000001,0.8272593363959211,0.0
0.4,0.3500000000000001,0.1,0.809664285208821,0.0
0.4,0.3500000000000001,0.125,0.8214264988825039,0.0
0.4,0.3500000000000001,0.15000000000000002,0.8176134233397628,0.0
0.4,0.3500000000000001,0.17500000000000004,0.8042423408885374,0.0
0.4,0.3500000000000001,0.2,0.81658496089652,0.0
0.4,0.4,0.05,0.7905422316717634,0.0
0.4,0.4,0.07500000000000001,0.8213603874755526,0.0
0.4,0.4,0.1,0.8242340942023761,0.0
0.4,0.4,0.125,0.7948691486291751,0.0
0.4,0.4,0.15000000000000002,0.8026584200456134,0.0
0.4,0.4,0.17500000000000004,0.825240551102282,0.0
0.4,0.4,0.2,0.8109314782746213,0.0
0.45000000000000007,0.1,0.05,0.8259450162196241,0.0
0.45000000000000007,0.1,0.07500000000000001,0.83347738485396,0.0
0.45000000000000007,0.1,0.1,0.8228214509844716,0.0
0.45000000000000007,0.1,0.125,0.8076479303804588,0.0
0.45000000000000007,0.1,0.15000000000000002,0.8198137981117972,0.0
0.45000000000000007,0.1,0.17500000000000004,0.7949487586518441,0.0
0.45000000000000007,0.1,0.2,0.8238346334913175,0.0
0.45000000000000007,0.15000000000000002,0.05,0.8263092511799566,0.0
0.45000000000000007,0.15000000000000002,0.07500000000000001,0.8030446079493622,0.0
0.45000000000000007,0.15000000000000002,0.1,0.8012914851616479,0.0
0.45000000000000007,0.15000000000000002,0.125,0.8061026675823543,0.0
0.45000000000000007,0.15000000000000002,0.15000000000000002,0.8055212981077955,0.0
0.45000000000000007,0.15000000000000002,0.17500000000000004,0.8141017797293408,0.0
0.45000000000000007,0.15000000000000002,0.2,0.8231541219054823,0.0
0.45000000000000007,0.2,0.05,0.8285097056302766,0.0
0.45000000000000007,0.2,0.07500000000000001,0.8155057295248741,0.0
0.45000000000000007,0.2,0.1,0.800953068600503,0.0
0.45000000000000007,0.2,0.125,0.8076178414342213,0.0
0.45000000000000007,0.2,0.15000000000000002,0.7953193557066368,0.0
0.45000000000000007,0.2,0.17500000000000004,0.8186093583494664,0.0
0.45000000000000007,0.2,0.2,0.8139994987459684,0.0
0.45000000000000007,0.25,0.05,0.8248329343634184,0.0
0.45000000000000007,0.25,0.07500000000000001,0.7841703119881435,0.0
0.45000000000000007,0.25,0.1,0.779233299663767,0.0
0.45000000000000007,0.25,0.125,0.812055081159389,0.0
0.45000000000000007,0.25,0.15000000000000002,0.8217271256492101,0.0
0.45000000000000007,0.25,0.17500000000000004,0.8235349944631914,0.0
0.45000000000000007,0.25,0.2,0.8160385724622494,0.0
0.45000000000000007,0.30000000000000004,0.05,0.8003988487769756,0.0
0.45000000000000007,0.30000000000000004,0.07500000000000001,0.7814229347528233,0.0
0.45000000000000007,0.30000000000000004,0.1,0.8195735869212377,0.0
0.45000000000000007,0.30000000000000004,0.125,0.7913725474855182,0.0
0.45000000000000007,0.30000000000000004,0.15000000000000002,0.7987452874456895,0.0
0.45000000000000007,0.30000000000000004,0.17500000000000004,0.8319532299932315,0.0
0.45000000000000007,0.30000000000000004,0.2,0.8051774912177935,0.0
0.45000000000000007,0.3500000000000001,0.05,0.8058261462814745,0.0
0.45000000000000007,0.3500000000000001,0.07500000000000001,0.8437540523104166,0.0
0.45000000000000007,0.3500000000000001,0.1,0.8234659339092241,0.0
0.45000000000000007,0.3500000000000001,0.125,0.7910947422789774,0.0
0.45000000000000007,0.3500000000000001,0.15000000000000002,0.7940837408572441,0.0
0.45000000000000007,0.3500000000000001,0.17500000000000004,0.8196090870493518,0.0
0.45000000000000007,0.3500000000000001,0.2,0.827340641562125,0.0
0.45000000000000007,0.4,0.05,0.8189511045038299,0.0
0.45000000000000007,0.4,0.07500000000000001,0.8157323892870753,0.0
0.45000000000000007,0.4,0.1,0.7967282483327226,0.0
0.45000000000000007,0.4,0.125,0.8356137310298941,0.0
0.45000000000000007,0.4,0.15000000000000002,0.8124555681869048,0.0
0.45000000000000007,0.4,0.17500000000000004,0.8103240617624534,0.0
0.45000000000000007,0.4,0.2,0.8158875021945636,0.0
0.5,0.1,0.05,0.8181672735046976,0.0
0.5,0.1,0.07500000000000001,0.8168450492532263,0.0
0.5,0.1,0.1,0.8243120832119517,0.0
0.5,0.1,0.125,0.8244169633123076,0.0
0.5,0.1,0.15000000000000002,0.82979518143273,0.0
0.5,0.1,0.17500000000000004,0.8369911318260952,0.0
0.5,0.1,0.2,0.8241329025321442,0.0
0.5,0.15000000000000002,0.05,0.8062926180935805,0.0
0.5,0.15000000000000002,0.07500000000000001,0.816447937439476,0.0
0.5,0.15000000000000002,0.1,0.8260659873337811,0.0
0.5,0.15000000000000002,0.125,0.8341704697530709,0.0
0.5,0.15000000000000002,0.15000000000000002,0.8213858155412973,0.0
0.5,0.15000000000000002,0.17500000000000004,0.8216885229045201,0.0
0.5,0.15000000000000002,0.2,0.788347348256365,0.0
0.5,0.2,0.05,0.8096124297121386,0.0
0.5,0.2,0.07500000000000001,0.7956504616892773,0.0
0.5,0.2,0.1,0.8193018484274898,0.0
0.5,0.2,0.125,0.7727122786396989,0.0
0.5,0.2,0.15000000000000002,0.8243779325575369,0.0
0.5,0.2,0.17500000000000004,0.8295660968570584,0.0
0.5,0.2,0.2,0.7974128566570857,0.0
0.5,0.25,0.05,0.8146326772295848,0.0
0.5,0.25,0.07500000000000001,0.8338255371615759,0.0
0.5,0.25,0.1,0.811858838161681,0.0
0.5,0.25,0.125,0.8267005110718323,0.0
0.5,0.25,0.15000000000000002,0.8058090576889176,0.0
0.5,0.25,0.17500000000000004,0.8032735736285922,0.0
0.5,0.25,0.2,0.8174839780856524,0.0
0.5,0.30000000000000004,0.05,0.8130860667803451,0.0
0.5,0.30000000000000004,0.07500000000000001,0.7885563748364257,0.0
0.5,0.30000000000000004,0.1,0.7971767172647902,0.0
0.5,0.30000000000000004,0.125,0.8176157249600188,0.0
0.5,0.30000000000000004,0.15000000000000002,0.8090768100798157,0.0
0.5,0.30000000000000004,0.17500000000000004,0.805784723449699,0.0
0.5,0.30000000000000004,0.2,0.7946645535227492,0.0
0.5,0.3500000000000001,0.05,0.8246715710396052,0.0
0.5,0.3500000000000001,0.07500000000000001,0.807632254932923,0.0
0.5,0.3500000000000001,0.1,0.8171005811599474,0.0
0.5,0.3500000000000001,0.125,0.8201447336674229,0.0
0.5,0.3500000000000001,0.15000000000000002,0.7907610007844953,0.0
0.5,0.3500000000000001,0.17500000000000004,0.8201688003889663,0.0
0.5,0.3500000000000001,0.2,0.8123457959147937,0.0
0.5,0.4,0.05,0.8005781339666979,0.0
0.5,0.4,0.07500000000000001,0.8005734775822773,0.0
0.5,0.4,0.1,0.8089296044736785,0.0
0.5,0.4,0.125,0.8164048873932631,0.0
0.5,0.4,0.15000000000000002,0.8071472119513886,0.0
0.5,0.4,0.17500000000000004,0.8179866148273659,0.0
0.5,0.4,0.2,0.8125085789531374,0.0
